,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
23,"rectangle,yellow,3",False,6,4,23,hg87,2,"[' True', ' False', 'True', '  ', ' true']", True,True,-19.421875,-23.1171875
24,"rectangle,blue,1",True,7,0,24,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-28.9765625,-28.390625
25,"rectangle,yellow,3",True,7,1,25,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-21.5625,-18.984375
26,"rectangle,blue,2",True,7,2,26,hg87,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-20.5078125,-19.484375
27,"triangle,blue,3",True,7,3,27,hg87,2,"[' False', 'False', ' True', ' false', '  ']", False,False,-31.4453125,-24.796875
28,"rectangle,green,3",False,8,0,28,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-27.5546875,-29.5390625
29,"circle,green,1",False,9,0,29,hg87,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-32.140625,-31.7890625
30,"triangle,green,2",False,10,0,30,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-29.46875,-27.390625
31,"triangle,yellow,3",False,10,1,31,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-22.0,-24.9453125
32,"rectangle,yellow,3",False,11,0,32,hg87,2,"[' True', ' False', 'False', 'True', '  ']", True,True,-28.2578125,-28.703125
33,"circle,green,2",False,11,1,33,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-30.1015625,-33.09375
34,"rectangle,green,3",False,12,0,34,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-25.4609375,-26.1484375
35,"triangle,yellow,2",True,12,1,35,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-27.390625,-25.0390625
36,"rectangle,green,1",False,12,2,36,hg87,2,"[' True', ' False', 'True', 'False', '  ']", True,True,-19.7890625,-20.78125
37,"circle,green,1",False,12,3,37,hg87,2,"[' True', ' False', 'False', 'True', ' false']", True,True,-22.2578125,-22.3046875
38,"triangle,blue,2",True,12,4,38,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-20.8515625,-21.5390625
39,"circle,green,1",False,13,0,39,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-32.6875,-30.875
40,"rectangle,yellow,2",False,13,1,40,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-21.6796875,-21.5
41,"rectangle,green,1",False,13,2,41,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-21.2265625,-22.328125
42,"triangle,yellow,3",False,14,0,42,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-29.9609375,-28.8828125
43,"triangle,green,2",False,14,1,43,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-23.0234375,-20.453125
44,"triangle,yellow,2",False,14,2,44,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-22.8515625,-22.390625
45,"circle,blue,1",True,14,3,45,hg87,2,"[' True', ' False', 'False', 'True', ' true']", True,True,-24.109375,-24.2890625
46,"triangle,yellow,1",False,14,4,46,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-24.859375,-23.375
47,"triangle,yellow,2",False,15,0,47,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-35.4453125,-31.34375
48,"circle,green,1",True,15,1,48,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-24.640625,-22.46875
49,"rectangle,blue,2",True,15,2,49,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-23.90625,-23.4453125
50,"circle,blue,3",True,15,3,50,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-18.3828125,-16.109375
51,"circle,green,1",False,16,0,51,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-31.578125,-28.453125
52,"triangle,green,3",False,16,1,52,hg87,2,"[' False', ' True', 'False', 'True', ' true']", False,False,-23.734375,-23.65625
53,"triangle,green,2",False,17,0,53,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-35.40625,-30.171875
54,"circle,yellow,1",False,17,1,54,hg87,2,"[' True', ' False', 'True', ' true', 'False']", True,True,-22.15625,-24.75
55,"triangle,green,1",True,18,0,55,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-34.328125,-31.5390625
56,"triangle,blue,1",True,18,1,56,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-21.3046875,-20.640625
57,"rectangle,yellow,2",True,18,2,57,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-26.28125,-22.8671875
58,"rectangle,blue,1",True,18,3,58,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-16.5859375,-18.0390625
59,"rectangle,green,3",False,19,0,59,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-30.71875,-28.7109375
60,"circle,yellow,1",True,20,0,60,hg87,2,"[' False', ' True', 'False', 'True', '  ']", False,False,-32.5625,-31.4921875
61,"rectangle,green,1",False,20,1,61,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-24.515625,-20.90625
62,"circle,green,3",True,20,2,62,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-20.8046875,-19.765625
63,"circle,blue,2",True,20,3,63,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-24.2265625,-23.2265625
64,"triangle,blue,2",True,20,4,64,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-28.3203125,-23.6328125
65,"rectangle,yellow,3",False,21,0,65,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-35.0390625,-30.703125
66,"triangle,blue,1",True,22,0,66,hg87,2,"[' False', ' True', 'False', 'True', ' false']", False,False,-30.59375,-29.46875
67,"circle,green,2",False,23,0,67,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-32.015625,-27.5234375
68,"triangle,yellow,2",False,23,1,68,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-24.90625,-21.65625
69,"rectangle,blue,2",True,23,2,69,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-19.390625,-21.4296875
70,"rectangle,blue,1",True,23,3,70,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-23.8515625,-25.453125
71,"circle,yellow,1",False,23,4,71,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-24.1796875,-21.5390625
72,"triangle,yellow,2",False,24,0,72,hg87,2,"[' False', ' True', 'False', ' false', '  ']", False,False,-37.9921875,-32.5
73,"rectangle,yellow,2",False,24,1,73,hg87,2,"[' False', ' True', 'False', ' false', 'True']", False,False,-21.625,-20.1875
74,"rectangle,green,2",False,24,2,74,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-20.1015625,-20.859375
75,"rectangle,yellow,3",False,24,3,75,hg87,2,"[' True', ' False', 'True', 'False', ' true']", True,True,-21.390625,-23.015625
