,obj,label,set,item_in_set,item_num,concept,listnum,top5,top_ans,mass_ans,true_mass,false_mass
17,"triangle,blue,2",False,6,0,17,hg72,2,"[' False', ' True', ' false', '\n', ' Error']", False,False,9.84375,11.4921875
18,"rectangle,green,1",False,7,0,18,hg72,2,"[' True', ' False', ' true', ' false', "" '""]", True,True,12.1796875,11.6015625
19,"circle,blue,3",False,7,1,19,hg72,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,16.390625,16.0
20,"rectangle,green,3",False,7,2,20,hg72,2,"[' False', ' True', ' Yellow', ' Error', ' Unknown']", False,False,11.125,12.4765625
21,"circle,yellow,2",True,7,3,21,hg72,2,"[' False', ' True', ' Error', ' Unknown', ' Yellow']", False,False,11.578125,12.9375
22,"triangle,green,1",False,8,0,22,hg72,2,"[' False', ' True', ' false', ' true', ' Error']", False,False,11.2890625,13.15625
23,"rectangle,blue,2",False,8,1,23,hg72,2,"[' False', ' True', ' false', ' true', ' FALSE']", False,False,11.71875,13.1953125
24,"circle,yellow,2",False,9,0,24,hg72,2,"[' False', ' True', ' false', ' true', 'False']", False,False,15.796875,15.9609375
25,"triangle,green,1",False,9,1,25,hg72,2,"[' False', ' True', ' Null', ' Yellow', ' Error']", False,False,10.3359375,12.5078125
26,"circle,green,3",False,10,0,26,hg72,2,"[' False', ' True', ' false', ' Error', 'False']", False,False,10.5703125,13.984375
27,"rectangle,green,3",False,10,1,27,hg72,2,"[' False', ' True', ' false', 'False', ' Error']", False,False,11.7109375,16.984375
28,"triangle,blue,2",False,10,2,28,hg72,2,"[' False', ' True', ' false', 'False', ' Error']", False,False,11.5546875,15.7890625
29,"rectangle,yellow,3",False,11,0,29,hg72,2,"[' False', ' True', ' false', 'False', ' FALSE']", False,False,14.84375,16.296875
30,"triangle,yellow,2",False,11,1,30,hg72,2,"[' False', ' True', ' Error', ' false', ' Unknown']", False,False,11.3359375,13.6875
31,"circle,green,3",False,11,2,31,hg72,2,"[' False', ' True', ' Error', ' false', ' FALSE']", False,False,10.9375,14.34375
32,"rectangle,green,2",False,12,0,32,hg72,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,13.421875,13.2265625
33,"triangle,blue,1",False,12,1,33,hg72,2,"[' False', ' True', ' false', ' true', ' ""']", False,False,12.046875,12.90625
34,"circle,yellow,1",False,12,2,34,hg72,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,16.21875,16.0625
35,"circle,green,2",False,12,3,35,hg72,2,"[' False', ' True', ' Error', ' FALSE', ' false']", False,False,11.515625,15.5546875
36,"circle,green,1",False,12,4,36,hg72,2,"[' False', ' True', ' Error', ' FALSE', ' false']", False,False,11.1328125,16.53125
37,"triangle,yellow,1",False,13,0,37,hg72,2,"[' False', ' True', ' false', ' true', ' FALSE']", False,False,12.8125,14.4296875
38,"rectangle,blue,2",True,13,1,38,hg72,2,"[' False', ' True', ' false', ' ""', ' true']", False,False,11.21875,12.9296875
39,"rectangle,blue,3",True,13,2,39,hg72,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,16.15625,15.7578125
40,"rectangle,green,2",False,14,0,40,hg72,2,"[' False', ' True', ' false', ' FALSE', ' true']", False,False,12.9765625,14.984375
41,"rectangle,yellow,3",False,14,1,41,hg72,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,15.046875,14.78125
42,"triangle,blue,2",True,14,2,42,hg72,2,"[' False', ' True', ' false', ' true', ' FALSE']", False,False,13.484375,14.625
43,"triangle,blue,3",True,14,3,43,hg72,2,"[' False', ' True', ' false', ' true', ' Error']", False,False,13.2890625,13.65625
44,"triangle,yellow,3",True,14,4,44,hg72,2,"[' True', ' False', ' false', ' true', ' TRUE']", True,True,16.421875,15.953125
