,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,rule_expression,manual_code,object,model_answer
991,hg01,True,23,11,1,22,0,0.98846815627973683149321004748344,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue triangle,True
992,hg01,True,24,11,1,22,0,0.90990072357419649051735177636147,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow rectangle,True
993,hg01,True,25,12,1,22,0,0.96261894702024619618896394968033,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow rectangle,True
994,hg01,True,26,12,1,22,0,0.96666514695277783175697550177574,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True
995,hg01,True,27,12,1,22,0,0.87151514869333368551451712846756,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue circle,True
996,hg01,True,28,12,1,22,0,0.93886822431966265867231413722038,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green circle,True
997,hg01,True,29,13,1,22,0,0.99375038095649870228953659534454,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue triangle,True
998,hg01,True,30,13,1,22,0,0.96284255464604484586743637919426,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow triangle,True
999,hg01,True,31,13,1,22,0,0.96066632784425110003212466835976,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium green rectangle,True
1000,hg01,True,32,13,1,22,0,0.89571931226691958727315068244934,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green circle,True
1001,hg01,True,33,13,1,22,0,0.98980282427601196104660630226135,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue rectangle,True
1002,hg01,True,34,14,1,22,0,0.9462354371410128806019201874733,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green triangle,True
1003,hg01,True,35,14,1,22,0,0.94456445671244182449299842119217,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green triangle,True
1004,hg01,True,36,15,1,22,0,0.92928248096393417654326185584068,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green rectangle,True
1005,hg01,True,37,16,1,22,0,0.98439031126065401622327044606209,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green rectangle,True
1006,hg01,True,38,16,1,22,0,0.91715427388157877430785447359085,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow circle,True
1007,hg01,True,39,17,1,22,0,0.95831232264549726096447557210922,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow triangle,True
1008,hg01,True,40,17,1,22,0,0.9793495723913565598195418715477,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green triangle,True
1009,hg01,True,41,18,1,22,0,0.83714313870939349726540967822075,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large blue circle,True
1010,hg01,True,42,18,1,21,1,0.96530502905773118982324376702309,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium green circle,True
1011,hg01,True,43,18,1,22,0,0.98669501663937353441724553704262,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium green rectangle,True
1012,hg01,True,44,18,1,21,1,0.98674198657386114064138382673264,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue rectangle,True
1013,hg01,True,45,18,1,21,1,0.97801770785883945791283622384071,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True
1014,hg01,True,46,19,1,22,0,0.98581119818732076964806765317917,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium green rectangle,True
1015,hg01,True,47,19,1,22,0,0.98538867240176841733045876026154,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue rectangle,True
1016,hg01,True,48,19,1,22,0,0.95951767591861880646320059895515,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green circle,True
1017,hg01,True,49,19,1,22,0,0.95602575649456866813125088810921,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow circle,True
1018,hg01,True,50,19,1,22,0,0.91975454791338506765896454453468,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large yellow circle,True
1019,hg01,True,51,20,1,22,0,0.99078811071944983268622308969498,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue rectangle,True
1020,hg01,True,52,20,1,22,0,0.96876643294046971277566626667976,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow triangle,True
1021,hg01,True,53,20,1,22,0,0.98834526246946552419103682041168,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow circle,True
1022,hg01,True,54,20,1,22,0,0.99026603507365962286712601780891,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True
1023,hg01,True,55,20,1,22,0,0.98396849333357749856077134609222,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large yellow rectangle,True
1024,hg01,True,56,21,1,22,0,0.96232320139597504748962819576263,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium green rectangle,True
1025,hg01,True,57,22,1,21,1,0.99398849625117691175546497106552,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large green rectangle,True
1026,hg01,True,58,22,1,22,0,0.9842325479723967873724177479744,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small green triangle,True
1027,hg01,True,59,23,1,22,0,0.97766731462104417005321010947227,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow rectangle,True
1028,hg01,True,60,23,1,22,0,0.99243295435189793352037668228149,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large blue triangle,True
1029,hg01,True,61,24,1,22,0,0.98304213631035963771864771842957,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue triangle,True
1030,hg01,True,62,24,1,22,0,0.97991259222385451721493154764175,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow triangle,True
390,hg02,True,0,0,0,11,12,0.49245329912093893653945997357368,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small blue rectangle,False
391,hg02,True,1,0,0,12,11,0.46952154167763637815369293093681,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium blue rectangle,False
392,hg02,True,2,0,0,10,13,0.49509395513632625807076692581177,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",large blue triangle,False
393,hg02,True,3,0,0,8,15,0.40167276219392533676000311970711,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",medium yellow triangle,False
394,hg02,True,4,0,0,10,13,0.42180912620051458361558616161346,"""λx.apply1(apply2(same_color,x.o),x.o)""
",same color as itself,"def is_rule(obj):
    return obj.color == obj.color",small yellow rectangle,False
395,hg02,True,5,1,0,1,22,0.11255758768788837187457829713821,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue rectangle,False
396,hg02,True,6,1,0,1,22,0.11429994371655993745662271976471,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow triangle,False
397,hg02,True,7,1,0,15,8,0.35273082310447989584645256400108,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green circle,False
398,hg02,True,8,1,0,11,12,0.34290140472603525267913937568665,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue circle,False
399,hg02,True,9,1,0,17,6,0.36741052175318600347964093089104,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green circle,False
400,hg02,True,10,2,0,8,14,0.13615964827624793542781844735146,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue triangle,False
401,hg02,True,11,3,0,6,16,0.095962774665053984790574759244919,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green circle,False
402,hg02,True,12,3,0,5,17,0.18395242054293703404255211353302,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green circle,False
403,hg02,True,13,4,0,5,17,0.15058101230056308850180357694626,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue rectangle,False
404,hg02,True,14,4,0,5,17,0.081257075499024722375907003879547,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,False
405,hg02,True,15,4,0,4,18,0.21617307149006137478863820433617,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green rectangle,False
406,hg02,True,16,4,0,3,19,0.095493096664768017944879829883575,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue rectangle,False
407,hg02,True,17,4,0,6,16,0.15098999551014458120334893465042,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue circle,False
408,hg02,True,18,5,0,5,16,0.17601011165481850184733048081398,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow circle,False
409,hg02,True,19,5,0,5,16,0.11525519135307149554137140512466,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green rectangle,False
410,hg02,True,20,5,0,0,21,0.055060498756120068719610571861267,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue rectangle,False
411,hg02,True,21,5,0,4,17,0.10153089251195979159092530608177,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue circle,False
412,hg02,True,22,5,0,1,20,0.084359627547996751673053950071335,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue circle,False
413,hg02,True,23,6,0,2,18,0.091881669772874374757520854473114,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow circle,False
414,hg02,True,24,7,0,1,19,0.15695073391702862863894551992416,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green rectangle,False
415,hg02,True,25,7,0,0,20,0.079078527559090616705361753702164,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue rectangle,False
416,hg02,True,26,7,0,1,19,0.099667607996252627344802021980286,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green rectangle,False
417,hg02,True,27,7,0,2,18,0.10957164628098325920291244983673,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue triangle,False
418,hg02,True,28,7,0,0,20,0.047682934632803153363056480884552,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow circle,False
419,hg02,True,29,8,0,1,19,0.078087510978662066918332129716873,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue triangle,False
420,hg02,True,30,8,0,1,19,0.054758867167379321472253650426865,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green circle,False
421,hg02,True,31,8,0,2,18,0.10462460096732684178277850151062,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow triangle,False
422,hg02,True,32,8,0,3,17,0.075745939496982828131876885890961,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow circle,False
423,hg02,True,33,9,0,1,19,0.070944196504001411085482686758041,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue circle,False
424,hg02,True,34,9,0,0,20,0.03592651804888191691134124994278,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,False
425,hg02,True,35,9,0,1,19,0.10574035050171914917882531881332,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green rectangle,False
426,hg02,True,36,10,0,1,19,0.068614990206015136209316551685333,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green circle,False
427,hg02,True,37,11,0,1,19,0.14274387889599893242120742797852,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow triangle,False
428,hg02,True,38,11,0,2,18,0.18048241360725114645902067422867,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green triangle,False
429,hg02,True,39,12,0,2,18,0.079171822871330732596106827259064,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,False
430,hg02,True,40,12,0,2,18,0.058293054401246990892104804515839,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green circle,False
431,hg02,True,41,13,0,0,20,0.16906796426223991147708147764206,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow rectangle,False
432,hg02,True,42,14,0,1,19,0.052892985387870794511400163173676,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow rectangle,False
433,hg02,True,43,14,0,2,18,0.031074240107159312174189835786819,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green circle,False
434,hg02,True,44,14,0,1,19,0.069390486587622035585809499025345,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow circle,False
435,hg02,True,45,14,0,2,18,0.12130654799159401591168716549873,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue circle,False
436,hg02,True,46,14,0,1,19,0.055004211702339489420410245656967,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow triangle,False
437,hg02,True,47,15,0,0,20,0.060314880306464146997313946485519,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,False
438,hg02,True,48,15,0,0,20,0.15085153473103218857431784272194,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green triangle,False
439,hg02,True,49,16,0,1,19,0.042960160969414573628455400466919,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow triangle,False
440,hg02,True,50,16,0,0,20,0.049773093131079804152250289916992,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,False
441,hg02,True,51,16,0,0,20,0.049101064038836739200633019208908,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue circle,False
442,hg02,True,52,17,0,1,19,0.087243400618035593652166426181793,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium green circle,False
443,hg02,True,53,18,0,0,20,0.087221084631664780317805707454681,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue circle,False
444,hg02,True,54,18,0,1,19,0.027822356858337116136681288480759,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow triangle,False
445,hg02,True,55,18,0,1,19,0.078125921869286685250699520111084,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow circle,False
446,hg02,True,56,18,0,0,20,0.015961746205107374407816678285599,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green circle,False
447,hg02,True,57,19,0,1,19,0.073372543325490369170438498258591,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow rectangle,False
448,hg02,True,58,19,0,0,20,0.058483577752099336066748946905136,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow rectangle,False
449,hg02,True,59,19,0,1,19,0.031657426451488390739541500806808,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow triangle,False
450,hg02,True,60,19,0,0,20,0.045778564614806782628875225782394,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green triangle,False
451,hg02,True,61,19,0,1,19,0.053321022447107679909095168113708,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green triangle,False
452,hg02,True,62,20,0,0,20,0.054467953061930529656819999217987,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium blue circle,False
453,hg02,True,63,20,0,1,19,0.014325246576390782138332724571228,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow triangle,False
454,hg02,True,64,20,0,1,19,0.020409985198512003989890217781067,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large green triangle,False
455,hg02,True,65,20,0,2,18,0.089712234908120080945082008838654,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small green rectangle,False
456,hg02,True,66,20,0,1,19,0.040663888537324055505450814962387,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue rectangle,False
457,hg02,True,67,21,0,2,18,0.04036153880065285193268209695816,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large yellow rectangle,False
458,hg02,True,68,21,0,1,19,0.04676847540281414694618433713913,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,False
459,hg02,True,69,22,0,1,19,0.018960205555231368634849786758423,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small yellow rectangle,False
460,hg02,True,70,22,0,0,20,0.075526570940951387456152588129044,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue circle,False
461,hg02,True,71,23,0,1,19,0.060966030623603728599846363067627,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",medium yellow triangle,False
462,hg02,True,72,23,0,1,19,0.019368521577348474238533526659012,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",large blue circle,False
463,hg02,True,73,23,0,1,19,0.017195802979699692514259368181229,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",larger than itself,"def is_rule(obj):
    return obj.size_num > obj.size_num",small blue triangle,False
