,concept,is_bool,item_num,set_num,answer,hyes,hno,p(yes),lambda_rule,object,concept_num,set,model_answer,to_annotate
3292,one of the smallest of objects who share a shape with another object,False,57,21,0,6,15,0.49985043066726575,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large yellow triangle,hg100,21,False,False
3293,one of the smallest of objects who share a shape with another object,False,58,21,1,19,2,0.8972992276297873,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium yellow rectangle,hg100,21,True,False
3294,one of the smallest of objects who share a shape with another object,False,59,22,1,18,3,0.7512317978818146,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large yellow triangle,hg100,22,True,False
3295,one of the smallest of objects who share a shape with another object,False,60,22,1,19,2,0.7251789511095694,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large yellow circle,hg100,22,True,False
3296,one of the smallest of objects who share a shape with another object,False,61,23,1,21,0,0.9743074727907697,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium blue triangle,hg100,23,True,False
3297,one of the smallest of objects who share a shape with another object,False,62,23,1,21,0,0.9356914010446644,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium blue circle,hg100,23,True,False
3298,one of the smallest of objects who share a shape with another object,False,63,23,1,13,8,0.9157994806673742,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large green rectangle,hg100,23,True,False
3299,one of the smallest of objects who share a shape with another object,False,64,24,1,17,4,0.9481048799801783,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium green rectangle,hg100,24,True,False
3300,one of the smallest of objects who share a shape with another object,False,65,24,0,6,15,0.6052852682875027,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium yellow triangle,hg100,24,True,False
3301,one of the smallest of objects who share a shape with another object,False,66,24,1,19,2,0.987456237786887,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small blue triangle,hg100,24,True,False
3302,one of the smallest of objects who share a shape with another object,False,67,24,1,18,3,0.9689552683494185,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small yellow triangle,hg100,24,True,False
3303,one of the smallest of objects who share a shape with another object,False,68,24,0,6,15,0.6166807799361322,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium blue triangle,hg100,24,True,False
3304,one of the smallest of objects who share a shape with another object,False,69,25,1,21,0,0.9822827067987419,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large yellow rectangle,hg100,25,True,False
8165,same shape as a uniquely smallest object,False,0,1,1,8,17,0.39914911856408253,"""λx.apply1(apply2(same_color,x.o),x.o)""
",small yellow triangle,hg101,1,False,False
8166,same shape as a uniquely smallest object,False,1,1,1,16,9,0.4192132381574538,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow rectangle,hg101,1,False,False
8167,same shape as a uniquely smallest object,False,2,2,1,21,4,0.6290935491972505,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow triangle,hg101,2,True,False
8168,same shape as a uniquely smallest object,False,3,3,1,7,18,0.7247599445462356,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium green triangle,hg101,3,True,False
8169,same shape as a uniquely smallest object,False,4,3,0,18,7,0.5433409150463149,"""λx.apply1(apply2(same_color,x.o),x.o)""
",large yellow circle,hg101,3,True,False
8170,same shape as a uniquely smallest object,False,5,3,1,19,6,0.6133653955457703,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow circle,hg101,3,True,False
8171,same shape as a uniquely smallest object,False,6,4,0,9,16,0.3778724285397175,"""λx.apply7(not,apply1(large,x.o))""
",large green circle,hg101,4,False,False
8172,same shape as a uniquely smallest object,False,7,4,0,2,23,0.3227076484577083,"""λx.apply7(not,apply1(large,x.o))""
",large yellow circle,hg101,4,False,False
8173,same shape as a uniquely smallest object,False,8,4,1,25,0,0.7359836774577388,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow circle,hg101,4,True,False
8174,same shape as a uniquely smallest object,False,9,5,1,20,5,0.8502083647979362,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow rectangle,hg101,5,True,False
8175,same shape as a uniquely smallest object,False,10,5,0,12,13,0.8268641608689222,"""λx.apply7(not,apply1(large,x.o))""
",medium blue circle,hg101,5,True,False
8176,same shape as a uniquely smallest object,False,11,5,1,12,13,0.7364266421145658,"""λx.apply7(not,apply1(large,x.o))""
",small blue triangle,hg101,5,True,False
8177,same shape as a uniquely smallest object,False,12,5,0,14,11,0.806553087445991,"""λx.apply7(not,apply1(large,x.o))""
",medium green circle,hg101,5,True,False
8178,same shape as a uniquely smallest object,False,13,5,0,1,24,0.09961262166427787,"""λx.apply7(not,apply1(large,x.o))""
",large green circle,hg101,5,False,False
8179,same shape as a uniquely smallest object,False,14,6,0,19,5,0.7954089404825027,"""λx.apply7(not,apply1(circle,x.o))""
",medium yellow rectangle,hg101,6,True,False
8180,same shape as a uniquely smallest object,False,15,6,1,18,6,0.8288414234048105,"""λx.apply7(not,apply1(circle,x.o))""
",small yellow rectangle,hg101,6,True,False
8181,same shape as a uniquely smallest object,False,16,7,1,7,17,0.39423439008510286,"""λx.apply7(not,exists(apply3(size-gt,x.o), x.s))""
",medium blue circle,hg101,7,False,False
8182,same shape as a uniquely smallest object,False,17,8,1,11,13,0.7468869686861126,"""λx.apply7(not,apply1(large,x.o))""
",small green rectangle,hg101,8,True,False
8183,same shape as a uniquely smallest object,False,18,8,0,19,5,0.5094784475654706,"""λx.apply7(not,apply1(large,x.o))""
",large yellow rectangle,hg101,8,True,False
8184,same shape as a uniquely smallest object,False,19,9,1,16,7,0.6901827057737364,"""λx.apply7(not,apply1(large,x.o))""
",medium blue triangle,hg101,9,True,False
8185,same shape as a uniquely smallest object,False,20,9,0,9,14,0.25411820058604917,"""λx.apply7(not,apply1(large,x.o))""
",large yellow rectangle,hg101,9,False,False
8186,same shape as a uniquely smallest object,False,21,9,1,15,8,0.8093088457636668,"""λx.apply7(not,apply1(large,x.o))""
",small blue circle,hg101,9,True,False
8187,same shape as a uniquely smallest object,False,22,9,0,7,16,0.31899194779362006,"""λx.apply7(not,apply1(large,x.o))""
",large blue rectangle,hg101,9,False,False
8188,same shape as a uniquely smallest object,False,23,9,0,6,17,0.3749015573196175,"""λx.apply7(not,apply1(large,x.o))""
",large blue triangle,hg101,9,False,False
8189,same shape as a uniquely smallest object,False,24,10,0,10,13,0.7329017706057357,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow rectangle,hg101,10,True,False
8190,same shape as a uniquely smallest object,False,25,10,1,14,9,0.8949735094287234,"""λx.apply7(not,apply1(large,x.o))""
",small green triangle,hg101,10,True,False
8191,same shape as a uniquely smallest object,False,26,10,0,10,13,0.7825584988678429,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow triangle,hg101,10,True,False
8192,same shape as a uniquely smallest object,False,27,10,1,18,5,0.8954512237537529,"""λx.apply7(not,apply1(large,x.o))""
",small green rectangle,hg101,10,True,False
8193,same shape as a uniquely smallest object,False,28,11,1,18,4,0.45746564372961984,"""λx.apply7(not,exists(apply3(size-gt,x.o), x.s))""
",medium blue circle,hg101,11,False,False
8194,same shape as a uniquely smallest object,False,29,12,1,20,2,0.7806793644732579,"""λx.apply7(not,exists(apply3(size-gt,x.o), x.s))""
",medium blue triangle,hg101,12,True,False
8195,same shape as a uniquely smallest object,False,30,12,1,8,14,0.12163398078371301,"""λx.apply7(not,exists(apply3(size-gt,x.o), x.s))""
",large yellow rectangle,hg101,12,False,False
8196,same shape as a uniquely smallest object,False,31,13,0,5,17,0.20799406078845095,"""λx.apply7(not,apply1(large,x.o))""
",large yellow circle,hg101,13,False,False
8197,same shape as a uniquely smallest object,False,32,13,1,17,5,0.9071233162111412,"""λx.apply7(not,apply1(large,x.o))""
",small blue rectangle,hg101,13,True,False
8198,same shape as a uniquely smallest object,False,33,13,1,20,2,0.6060528552437745,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow circle,hg101,13,True,False
8199,same shape as a uniquely smallest object,False,34,14,1,22,0,0.9054140756883271,"""λx.apply7(not,apply1(large,x.o))""
",small yellow triangle,hg101,14,True,False
8200,same shape as a uniquely smallest object,False,35,14,1,12,10,0.7781448424253767,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow rectangle,hg101,14,True,False
8201,same shape as a uniquely smallest object,False,36,14,1,21,1,0.8804906330767608,"""λx.apply7(not,apply1(large,x.o))""
",small yellow circle,hg101,14,True,False
8202,same shape as a uniquely smallest object,False,37,15,1,19,3,0.9472142768623826,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow rectangle,hg101,15,True,False
8203,same shape as a uniquely smallest object,False,38,15,1,18,4,0.9203899876031301,"""λx.apply7(not,apply1(large,x.o))""
",medium green triangle,hg101,15,True,False
8204,same shape as a uniquely smallest object,False,39,15,0,5,17,0.2995456562484833,"""λx.apply7(not,apply1(large,x.o))""
",large blue triangle,hg101,15,False,False
8205,same shape as a uniquely smallest object,False,40,16,1,20,2,0.9689701333564926,"""λx.apply7(not,apply1(large,x.o))""
",small blue rectangle,hg101,16,True,False
8206,same shape as a uniquely smallest object,False,41,16,0,15,7,0.8920424942804175,"""λx.apply7(not,apply1(large,x.o))""
",medium yellow triangle,hg101,16,True,False
8207,same shape as a uniquely smallest object,False,42,16,0,11,11,0.8947733850034183,"""λx.apply7(not,apply1(large,x.o))""
",medium green rectangle,hg101,16,True,False
8208,same shape as a uniquely smallest object,False,43,16,1,20,2,0.9779918512333552,"""λx.apply7(not,apply1(large,x.o))""
",small green triangle,hg101,16,True,False
8209,same shape as a uniquely smallest object,False,44,16,1,5,17,0.12137643208052395,"""λx.apply7(not,apply1(large,x.o))""
",large blue circle,hg101,16,False,False
8210,same shape as a uniquely smallest object,False,45,17,0,2,20,0.17460471452591264,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large blue rectangle,hg101,17,False,False
8211,same shape as a uniquely smallest object,False,46,17,1,21,1,0.9837502755657397,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small blue rectangle,hg101,17,True,False
8212,same shape as a uniquely smallest object,False,47,17,0,12,10,0.24992416902102832,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium yellow rectangle,hg101,17,False,False
8213,same shape as a uniquely smallest object,False,48,17,1,18,4,0.9359806257631362,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small green circle,hg101,17,True,False
8214,same shape as a uniquely smallest object,False,49,17,1,19,3,0.9811571687871492,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",small green triangle,hg101,17,True,False
8215,same shape as a uniquely smallest object,False,50,18,1,20,2,0.9717951422621809,"""λx.apply7(not,exists(apply3(size-gt,x.o), x.s))""
",small blue triangle,hg101,18,True,False
8216,same shape as a uniquely smallest object,False,51,18,1,5,17,0.5112578687047744,"""λx.apply7(not,exists(apply3(size-gt,x.o), x.s))""
",large blue rectangle,hg101,18,True,False
8217,same shape as a uniquely smallest object,False,52,19,1,16,6,0.819084264166122,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium yellow rectangle,hg101,19,True,False
8218,same shape as a uniquely smallest object,False,53,19,0,7,15,0.1296899028519647,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large yellow circle,hg101,19,False,False
8219,same shape as a uniquely smallest object,False,54,19,1,18,4,0.8394306740901811,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium green circle,hg101,19,True,False
8220,same shape as a uniquely smallest object,False,55,20,1,6,16,0.48378474635478597,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",large green circle,hg101,20,False,False
8221,same shape as a uniquely smallest object,False,56,20,1,21,1,0.9602609712502499,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium yellow rectangle,hg101,20,True,False
8222,same shape as a uniquely smallest object,False,57,21,0,18,4,0.8253188968761833,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium green triangle,hg101,21,True,False
8223,same shape as a uniquely smallest object,False,58,21,1,18,4,0.9680660943853354,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium green rectangle,hg101,21,True,False
8224,same shape as a uniquely smallest object,False,59,21,0,16,6,0.8091431254778172,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium blue triangle,hg101,21,True,False
8225,same shape as a uniquely smallest object,False,60,22,0,7,15,0.16918194420827604,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",large blue triangle,hg101,22,False,False
8226,same shape as a uniquely smallest object,False,61,22,1,16,6,0.7024482746780905,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",medium blue triangle,hg101,22,True,False
8227,same shape as a uniquely smallest object,False,62,22,1,12,10,0.8332987758376476,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",large green rectangle,hg101,22,True,False
8228,same shape as a uniquely smallest object,False,63,22,0,11,11,0.2074578396762945,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",large green circle,hg101,22,False,False
8229,same shape as a uniquely smallest object,False,64,22,1,17,5,0.8479131562370412,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",small green circle,hg101,22,True,False
8230,same shape as a uniquely smallest object,False,65,23,1,14,8,0.9449527140233158,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",medium green triangle,hg101,23,True,False
8231,same shape as a uniquely smallest object,False,66,23,1,18,4,0.9863350616492426,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",small yellow circle,hg101,23,True,False
8232,same shape as a uniquely smallest object,False,67,23,1,20,2,0.9924291457989511,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",small blue rectangle,hg101,23,True,False
8233,same shape as a uniquely smallest object,False,68,24,1,19,3,0.7076961846080394,"""λx.apply1(apply3(same_color,x.o),iota(filter(apply2(same_shape,x.o), filter(apply3(size-geq,x.o), x.s))))""
",large yellow rectangle,hg101,24,True,False
8234,same shape as a uniquely smallest object,False,69,25,1,18,4,0.9278191941784826,"""λx.apply7(not,exists(apply3(size-gt,x.o), filter(apply2(same_shape,x.o), x.s)))""
",medium green circle,hg101,25,True,False
235,exactly one object in the set is blue excluding this object,False,0,1,0,16,8,0.3976449226988734,"""λx.apply1(apply2(same_color,x.o),x.o)""
",medium yellow circle,hg102,1,False,False
236,exactly one object in the set is blue excluding this object,False,1,2,1,11,13,0.3768739018642009,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",large green circle,hg102,2,False,False
237,exactly one object in the set is blue excluding this object,False,2,2,0,13,11,0.46764671426331006,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",small blue rectangle,hg102,2,False,False
238,exactly one object in the set is blue excluding this object,False,3,2,1,7,17,0.3751618721239538,"""λx.apply1(apply2(size-gt,x.o),x.o)""
",small yellow rectangle,hg102,2,False,False
239,exactly one object in the set is blue excluding this object,False,4,3,1,8,16,0.41127381423018505,"""λx.apply1(large,x.o)""
",medium yellow circle,hg102,3,False,False
240,exactly one object in the set is blue excluding this object,False,5,3,0,8,16,0.48683382074079873,"""λx.apply1(large,x.o)""
",large blue triangle,hg102,3,False,False
241,exactly one object in the set is blue excluding this object,False,6,3,1,22,2,0.5711519239488325,"""λx.apply1(large,x.o)""
",small green circle,hg102,3,True,False
