,concept_num,concept,ptg16_rule_expression,ptg_16_full_coverage_manual_code,gpt4_rule_expression,gpt4_full_coverage_manual_code,chance
46,hg27,not one of the largest or smallest,medium and larger than some object,0.986842105263158,(medium and green) or (medium and blue),0.7763157894736842,0.6675900277008311
13,hg105,exactly one blue object that is the same shape,same shape as a blue object,0.9444444444444444,blue or rectangle,0.75,0.5003858024691358
20,hg108,all other objects of the same shape are blue,not green,0.5909090909090909,(green and not rectangle) or blue or (yellow and (small or (medium and triangle))) or (large and triangle),0.7424242424242424,0.5371900826446281
15,hg106,exactly one blue object that is the same shape excluding this object,larger than itself,0.7948717948717948,(large and green and rectangle) or (small and green and triangle) or (yellow and rectangle),0.7307692307692307,0.6738987508218278
242,hg97,same shape as a uniquely blue object,larger than itself,0.8441558441558441,(small and not yellow) or (medium and blue) or (large and blue and rectangle),0.7142857142857143,0.7368864901332433
80,hg38,same shape as a (circle or blue) object,large and blue,0.5119047619047619,((circle or triangle) or (blue or yellow)) and (not rectangle),0.7142857142857143,0.518140589569161
191,hg72,same shape as another object that is blue,larger than itself,0.8026315789473685,(large and yellow) or (blue and rectangle),0.7105263157894737,0.6831717451523545
71,hg35,larger than some other object,larger than an object,1.0,(large and blue) or (medium and yellow) or ((triangle and blue) or (triangle and yellow)),0.7058823529411765,0.500432525951557
146,hg57,same shape as the unique largest blue object,same color as the unique (blue object that this object is not larger than) ,0.8108108108108109,blue and (circle or rectangle),0.7027027027027027,0.5821767713659605
181,hg69,all objects of this shape are blue,(not green) and (not yellow),1.0,(blue and not (circle or rectangle)) or (rectangle and not large),0.6973684210526315,0.5346260387811634
65,hg33,one of the largest and blue,large and blue,0.9565217391304348,large or blue,0.6956521739130435,0.6941818945599665
121,hg50,blue and no other object is blue,larger than itself,0.8918918918918919,circle and not blue,0.6891891891891891,0.8071585098612126
40,hg17,there is a triangle in the set,triangle,0.5679012345679012,not(small or blue) or ((small and yellow and triangle) or (small and blue and circle)),0.6790123456790124,0.6043286084438348
118,hg49,same shape as one of the largest that is not itself,there is an object of the same shape but not the same color,0.8108108108108109,medium and blue,0.6486486486486487,0.5617238860482103
98,hg43,(same shape as a blue object) and circle,circle,0.9295774647887324,small and triangle,0.647887323943662,0.6508629240230113
1,hg101,same shape as a uniquely smallest object,there is no object of the same shape that is smaller,0.9142857142857144,small or ((medium and yellow and not rectangle) or (large and yellow and rectangle) or (large and blue and rectangle)),0.6428571428571429,0.5493877551020409
218,hg89,exists another object of the same shape that is blue,there is a blue object of the same shape that is not the same color,1.0,(large and rectangle) or (small and (blue or yellow) and not (rectangle or circle)),0.6419753086419753,0.654320987654321
139,hg55,unique largest blue object,(not green) and (not yellow),0.8974358974358975,(medium and blue and circle) or \ (small and green and circle) or \ (large and green and circle) or \ (large and blue and triangle) or \ (small and blue and triangle) or \ (small and green and rectangle) or \ (medium and green and rectangle) or \ (medium and blue and rectangle) or \ (medium and green and triangle),0.6410256410256411,0.6893491124260356
233,hg94,the unique element and is (blue or green),larger than itself,0.925925925925926,rectangle,0.6296296296296297,0.8628257887517148
64,hg32,larger than or equal-sized with all objects,no object is larger than this object,1.0,large and blue,0.6,0.5004081632653061
246,hg98,the unique smallest object,strictly larger than all other objects,0.6376811594202898,(small) or (yellow and triangle),0.5942028985507246,0.6597353497164462
8,hg104,exactly one other object   is the same color,there is an object of the same color that is not the same size or not the same shape,0.881578947368421,(yellow or blue) and green,0.5789473684210527,0.5013850415512465
169,hg66,same color as all other objects of the same shape,there does not exist an object of the same shape but not of the same color,1.0,blue or (triangle) or (green and circle) or (yellow and rectangle),0.578125,0.5078125
5,hg103,exactly one blue object in the set,the uniquely blue element in the set is not green,1.0,(triangle or rectangle) and (small or medium),0.5753424657534246,0.5496340776881216
238,hg96,the unique object,larger than itself,0.9333333333333332,triangle or (small and blue and rectangle),0.5733333333333334,0.8755555555555556
33,hg111,at least one other object of the same shape is the same color,there does not exist an object of the same shape but not of the same color,1.0,circle or rectangle,0.5730337078651685,0.5000631233430123
79,hg37,same shape as a blue object,(not green) and (not yellow),0.9285714285714286,((circle or triangle) or (blue or yellow)) and (not rectangle),0.5714285714285714,0.5689795918367347
0,hg100,one of the smallest of objects who share a shape with another object,there is no object of the same shape that is smaller,1.0,(small) or (yellow and triangle),0.5714285714285714,0.6473469387755102
163,hg64,no other object has the same shape,same color as (the unique object with the same shape),1.0,(medium and circle) or (rectangle and not yellow and not large),0.5679012345679012,0.53360768175583
235,hg95,the unique element and is (blue and circle),larger than itself,0.9054054054054054,rectangle,0.5675675675675675,0.8287070854638421
154,hg60,same size as another object,there is an object of the same size that is ((the same color iff larger than object) or not the same shape),1.0,triangle or (circle and (blue or green)) or (rectangle and (blue or green)),0.5466666666666666,0.5000888888888888
153,hg59,same shape as another object,there is an object of the same shape that is not the same size or not the same color,1.0,triangle or (circle and (blue or green)) or (rectangle and (blue or green)),0.5352112676056338,0.5167625471136679
204,hg76,every other object   shares at least one feature  with this object,there is not an object that is (not the same size and (the same color iff same shape)),0.9863013698630136,blue or (rectangle and yellow),0.5342465753424658,0.5413773691124039
197,hg74,there is another object of the same shape<br>and another different object of the same color,there is an object of the same shape that is not the same size or not the same color,0.782608695652174,small or (triangle and (medium or large)) or (large and green and triangle),0.532608695652174,0.5085066162570889
222,hg90,same shape as another object that is blue or green,there is an object of the same shape that is not the same size or not the same color,0.8888888888888888,(triangle or rectangle) and blue,0.5138888888888888,0.5189043209876543
37,hg112,at least one other object of the same shape is not the same color,there is an object of the same shape but not the same color,0.9722222222222222,(blue and (triangle or rectangle)) or (yellow and (circle or rectangle)) or (green and circle),0.5138888888888888,0.5138888888888888
51,hg28,one of the largest of its shape,no object of the same shape is larger than this object,1.0,(large and yellow) or ((rectangle and blue) or (rectangle and yellow)),0.5063291139240507,0.5353308764621054
167,hg65,same shape and color as another object,larger than itself,0.9142857142857144,(blue or yellow) and (large or triangle or rectangle),0.5,0.8432653061224489
195,hg73,there is another object of the same shape and another object of the same color,rectangle,0.6666666666666666,small or (triangle and (medium or large)) or (large and green and triangle),0.4861111111111111,0.5385802469135802
99,hg44,same shape as the unique largest,larger than itself,0.7692307692307693,((triangle or circle) and (green or yellow or blue)) or (medium and green and rectangle) or ((medium or large) and blue and rectangle),0.4743589743589743,0.6449704142011834
173,hg67,blue or (same color as all other objects of the same shape),not yellow,0.6835443037974683,circle or small,0.4683544303797468,0.5353308764621054
202,hg75,there is another object of the same shape<br>that is the same color as another different object,there is an object of the same shape that is not the same size or not the same color,0.8888888888888888,(yellow) or (blue and large) or (blue and triangle and small),0.4583333333333333,0.5061728395061729
44,hg26,one of the largest or smallest,same color as itself,0.8846153846153846,(large and green) or (large and circle) or (green and circle),0.4230769230769231,0.7958579881656804
101,hg45,same shape as one of the largest,no object is larger than this object,0.7954545454545454,blue and (triangle or rectangle),0.4090909090909091,0.5506198347107438
156,hg61,blue or same shape as another object,not yellow,0.765625,(blue and large and not triangle) or (blue and triangle and not large),0.390625,0.625
162,hg63,same color as another object,there is an object of the same color that is not the same size or not the same shape,1.0,large circle or medium triangle or (small circle and (not green)),0.3896103896103896,0.5041322314049587
177,hg68,(circle) or (same color as all other objects of the same shape),there does not exist an object of the same shape but not of the same color,0.9230769230769232,(blue and not (circle or rectangle)) or (rectangle and not large),0.3846153846153846,0.5210387902695595
2,hg102,exactly one object in the set is blue excluding this object,not the same color as a uniquely blue object,0.8734177215189873,large or (medium and triangle) or (small and (rectangle or triangle)),0.379746835443038,0.5064893446563051
251,hg99,one of the smallest,not larger than an object,1.0,large or (medium and triangle) or (small and (rectangle or triangle)),0.3538461538461538,0.5010650887573964
187,hg71,does not exist another object with same shape and color,same color as (the unique object with the same shape and color),1.0,(triangle or rectangle) and (blue or yellow) and ((rectangle and large) or (triangle and medium and blue) or (triangle and not small and yellow),0.2692307692307692,0.7396449704142012
224,hg91,same shape as an object that is blue or green,same color as itself,0.8777777777777778,small and blue and (rectangle or triangle),0.2444444444444444,0.7854320987654322
108,hg47,(same shape as one of the largest) or blue,not (yellow and small),0.8780487804878049,medium and (same color as last `True’ object) and (different shape than last `True’ object),0.2073170731707317,0.685901249256395
